STORE_ID;STORE_NAME;ADDRESS_CITY_NAME;ADDRESS_STATE_PROV_CODE;MSA;SEG_VALUE_NAME;PARKING_SPACE_QTY;SALES_AREA_SIZE_NUM;AVG_WEEKLY_BASKETS;Latitude;Longitude
19523;DUNCANVILLE;DUNCANVILLE;TX;19100;VALUE;400;48594;24568;32,66066;-96,911882
19533;DENTON;DENTON;TX;19100;MAINSTREAM;;48330;28243;33,230788;-97,137042
25021;HAMILTON;HAMILTON;OH;17140;VALUE;1441;62961;34191;39,425137;-84,472925
367;15TH & MADISON;COVINGTON;KY;17140;VALUE;196;24721;12707;39,05906;-84,542748
2505;DICKINSON VILLAGE;DICKINSON;TX;26420;MAINSTREAM;319;41644;14460;29,458472;-95,034525
6187;ST. MARYS;SAINT MARYS;OH;47540;MAINSTREAM;;55474;20015;40,584975;-84,376744
8035;OVER-THE-RHINE;CINCINNATI;OH;17140;VALUE;17;10788;10435;39,109356;-84,502584
8041;LANDEN;MAINEVILLE;OH;17140;MAINSTREAM;1200;49074;14849;39,317087;-84,269694
13837;MAGNOLIA;MAGNOLIA;TX;26420;MAINSTREAM;;49164;27262;30,233328;-95,550188
15765;CYPRESS TOWN CENTER;HOUSTON;TX;26420;MAINSTREAM;;49068;25351;29,971257;-95,690793
17615;SUGARLAND;SUGAR LAND;TX;26420;MAINSTREAM;;48632;32491;29,62702;-95,633716
21479;WOOD FOREST S/C;HOUSTON;TX;26420;VALUE;;49104;29436;29,789805;-95,159557
25027;CINCINNATI;CINCINNATI;OH;17140;MAINSTREAM;;62656;43893;39,12616;-84,482642
25253;HIGHWAY 75;MCKINNEY;TX;19100;MAINSTREAM;;33931;11934;33,216503;-96,635343
29159;CARROLLTON;CARROLLTON;TX;19100;MAINSTREAM;;54927;25917;33,01845;-96,915244
17627;FLOWER MOUND;FLOWER MOUND;TX;19100;MAINSTREAM;513;59213;18197;33,03271;-97,06007
613;EAST ALLEN;ALLEN;TX;19100;MAINSTREAM;464;64926;29386;33,085504;-96,643452
2523;LANDMARK PLACE S/C;GRAND PRAIRIE;TX;19100;VALUE;252;34373;14201;32,72944;-96,996462
11757;INDEPENDENCE;INDEPENDENCE;KY;17140;MAINSTREAM;;32943;16904;38,923041;-84,54745
12011;SHERMAN;SHERMAN;TX;43300;MAINSTREAM;;41325;23153;33,655885;-96,606373
21227;LIBERTY TWP;MIDDLETOWN;OH;17140;UPSCALE;;85710;34875;39,492012;-84,395471
21237;LEBANON;LEBANON;OH;17140;MAINSTREAM;;86517;38465;39,439489;-84,197038
23075;TYLERSVILLE;WEST CHESTER;OH;17140;MAINSTREAM;564;51105;18842;39,323739;-84,395688
23349;GARLAND;GARLAND;TX;19100;VALUE;;46212;27823;32,911702;-96,674838
25229;CYPRESS;CYPRESS;TX;26420;MAINSTREAM;;59241;34977;29,971257;-95,690793
25233;ANTOINE TOWN CENTER;HOUSTON;TX;26420;VALUE;;46369;35788;29,911434;-95,479925
26973;MAINEVILLE;MAINEVILLE;OH;17140;MAINSTREAM;;48128;28241;39,316973;-84,243763
4245;LAWRENCEBURG;LAWRENCEBURG;IN;17140;MAINSTREAM;;58563;19275;39,12056;-84,843178
11967;NORTHBOROUGH SQ;HOUSTON;TX;26420;VALUE;294;25072;15916;29,977921;-95,490998
11993;DALLAS;DALLAS;TX;19100;UPSCALE;;57741;26101;32,806044;-96,788554
17627;FLOWER MOUND;FLOWER MOUND;TX;19100;UPSCALE;513;59213;18197;33,03623;-97,072329
21221;MIDDLETOWN;MIDDLETOWN;OH;17140;VALUE;;48128;17010;39,480793;-84,422687
23055;WALNUT HILLS/PEEBLES;CINCINNATI;OH;17140;VALUE;239;22920;13000;39,125975;-84,488863
24991;HYDE PARK;CINCINNATI;OH;17140;UPSCALE;1859;77730;50619;39,145097;-84,431824
25261;CROWLEY;CROWLEY;TX;19100;MAINSTREAM;;46368;26189;32,57903;-97,36252
2281;BLUE ASH;BLUE ASH;OH;17140;UPSCALE;;68500;32297;39,226117;-84,396936
2495;PLANTATION PLAZA;CLUTE;TX;26420;MAINSTREAM;407;48462;25507;29,031236;-95,3908
4503;ROCKWALL;ROCKWALL;TX;19100;UPSCALE;;56230;25289;32,882209;-96,472753
4521;PARKWAY SQUARE S/C;COLLEGE STATION;TX;17780;MAINSTREAM;418;34628;25633;30,582711;-96,286684
8263;THE WOODLANDS;THE WOODLANDS;TX;26420;UPSCALE;;51055;18877;30,208536;-95,528452
9825;DENT;CINCINNATI;OH;17140;MAINSTREAM;;54124;29916;39,177663;-84,645127
15547;WOODLAWN;CINCINNATI;OH;17140;MAINSTREAM;;48132;27358;39,262954;-84,469456
387;TOWN & COUNTRY;KETTERING;OH;19380;UPSCALE;270;44547;22867;39,689504;-84,168827
2279;MILFORD-MULBERRY;MILFORD;OH;17140;MAINSTREAM;771;44175;23037;39,17534;-84,29438
6179;DEERFIELD TWP;MASON;OH;17140;UPSCALE;;54448;35288;39,36006;-84,30994
11761;MIAMI TOWNSHIP;LOVELAND;OH;17140;UPSCALE;;53905;23348;39,228593;-84,255853
13827;BEAUMONT;BEAUMONT;TX;13140;MAINSTREAM;;50766;26001;30,115295;-94,157916
15541;LOVELAND;LOVELAND;OH;17140;MAINSTREAM;326;38858;18665;39,260426;-84,273027
15763;WOODLANDS;WOODLANDS;TX;26420;UPSCALE;;47530;12176;30,182017;-95,541454
19521;SOUTHLAKE;SOUTHLAKE;TX;19100;UPSCALE;;47757;14052;32,941098;-97,117211
21213;MT. CARMEL;CINCINNATI;OH;17140;MAINSTREAM;;46630;14512;39,104174;-84,299255
23061;LIBERTY TWP.;HAMILTON;OH;17140;MAINSTREAM;;42437;16591;39,381214;-84,549524
23067;WHIPP & BIGGER;KETTERING;OH;19380;MAINSTREAM;230;37319;14556;39,662455;-84,129656
27175;KATY;KATY;TX;26420;UPSCALE;;50224;24902;29,717926;-95,767036
28909;MIDDLETOWN;MIDDLETOWN;OH;17140;MAINSTREAM;;85876;28986;39,482346;-84,410917
